winner_id,tourney_id,match_won
200282,2016-0083,7
104327,2016-0083,5
105906,2016-0083,5
106072,2016-0083,3
105015,2016-0083,3
106214,2016-0083,3
126536,2016-0083,3
105047,2016-0083,3
104252,2016-0083,2
103781,2016-0083,2
122392,2016-0083,2
104897,2016-0083,2
106421,2016-0083,2
109739,2016-0083,1
104847,2016-0083,1
105870,2016-0083,1
105864,2016-0083,1
121531,2016-0083,1
105943,2016-0083,1
105633,2016-0083,1
105657,2016-0083,1
104735,2016-0083,1
124116,2016-0083,1
125796,2016-0083,1
200514,2016-0083,1
104771,2016-0091,6
105216,2016-0091,5
105810,2016-0091,4
105399,2016-0091,4
105585,2016-0091,4
105881,2016-0091,3
106291,2016-0091,3
122248,2016-0091,2
104499,2016-0091,2
144750,2016-0091,2
105452,2016-0091,2
104424,2016-0091,2
104082,2016-0091,2
105335,2016-0091,2
121004,2016-0091,2
103175,2016-0091,1
106205,2016-0091,1
105391,2016-0091,1
105655,2016-0091,1
124074,2016-0091,1
105869,2016-0091,1
104781,2016-0091,1
105339,2016-0091,1
104251,2016-0091,1
105026,2016-0091,1
105692,2016-0091,1
144955,2016-0091,1
106093,2016-0091,1
120545,2016-0091,1
105656,2016-0213,7
104738,2016-0213,5
106353,2016-0213,5
106377,2016-0213,4
106006,2016-0213,3
103656,2016-0213,3
105943,2016-0213,3
106057,2016-0213,2
105111,2016-0213,2
105070,2016-0213,2
105633,2016-0213,2
123755,2016-0213,2
104007,2016-0213,2
106243,2016-0213,2
111513,2016-0213,1
106412,2016-0213,1
106228,2016-0213,1
105917,2016-0213,1
110748,2016-0213,1
105515,2016-0213,1
105841,2016-0213,1
106181,2016-0213,1
105334,2016-0213,1
104690,2016-0213,1
106390,2016-0213,1
101339,2016-0213,1
124187,2016-0213,1
106288,2016-0213,1
126149,2016-0213,1
106293,2016-0221,5
128034,2016-0221,4
106234,2016-0221,4
105155,2016-0221,3
105427,2016-0221,3
103105,2016-0221,3
105154,2016-0221,2
109520,2016-0221,2
103643,2016-0221,2
105163,2016-0221,2
109684,2016-0221,2
111193,2016-0221,2
105436,2016-0221,2
123785,2016-0221,1
104873,2016-0221,1
110618,2016-0221,1
106167,2016-0221,1
106393,2016-0221,1
105759,2016-0221,1
105841,2016-0221,1
106348,2016-0221,1
105691,2016-0221,1
105325,2016-0221,1
126609,2016-0221,1
104864,2016-0228,5
106415,2016-0228,5
126207,2016-0228,4
126152,2016-0228,3
104424,2016-0228,3
104847,2016-0228,3
105376,2016-0228,3
105447,2016-0228,3
105733,2016-0228,2
105281,2016-0228,2
105960,2016-0228,2
104433,2016-0228,2
126574,2016-0228,2
106283,2016-0228,2
105512,2016-0228,2
105595,2016-0228,1
105441,2016-0228,1
206859,2016-0228,1
106093,2016-0228,1
105509,2016-0228,1
111578,2016-0228,1
106269,2016-0228,1
105626,2016-0228,1
103843,2016-0228,1
105654,2016-0228,1
105909,2016-0228,1
126098,2016-0228,1
105336,2016-0228,1
105572,2016-0228,1
105487,2016-0252,5
105068,2016-0252,4
104738,2016-0252,4
104297,2016-0252,3
105154,2016-0252,3
